Date,Close,Turnover volume
20170731,66,13052
20170801,66.75,14410
20170802,68.25,10571
20170803,68.5,23192
20170804,68.5,7252
20170807,67.75,95438
20170808,69.25,39833
20170809,68.75,33511
20170810,68.25,22617
20170811,67,38519
20170814,69,1775430
20170815,71.5,250508
20170816,72.25,78803
20170817,73.5,54792
20170818,71.25,33620
20170821,71,28866
20170822,69.75,34138
20170823,70.75,31677
20170824,72.25,34199
20170825,71,16015
20170828,69.75,13610
20170829,69.75,30435
20170830,70,395439
20170831,71,296339
20170901,71.25,59786
20170904,69.75,26465
20170905,69.5,17722
20170906,70,25260
20170907,71.25,26810
20170908,72.5,79618
20170911,73.25,27785
20170912,72.25,19620
20170913,73.75,55749
20170914,79.75,170898
20170915,80.25,107567
20170918,80.5,57123
20170919,78.5,88365
20170920,78,35710
20170921,80.5,27025
20170922,82,34569
20170925,81.25,22345
20170926,81.75,15060
20170927,83,17818
20170928,83.5,60066
20170929,85.25,57556
20171002,86.5,65384
20171003,84.75,58881
20171004,85.75,22829
20171005,86.75,34007
20171006,90,60786
20171009,90,45417
20171010,88,33716
20171011,89.5,23278
20171012,90.75,42781
20171013,92.75,32245
20171016,92.25,42396
20171017,91,35699
20171018,88,38085
20171019,86.25,13991
20171020,85.25,23975
20171023,83,35221
20171024,85,13642
20171025,82.5,14990
20171026,84,21507
20171027,86,22057
20171030,88,720083
20171031,87.25,13132
20171101,92,52324
20171102,92,49455
20171103,93.75,19490
20171106,95.25,38551
20171107,95,41367
20171108,93.75,25650
20171109,93,24465
20171110,92,21147
20171113,92.75,39613
20171114,90,68210
20171115,88.25,32077
20171116,89.5,20877
20171117,87.75,19036
20171120,86.25,17832
20171121,88.75,24980
20171122,89.25,9632
20171123,89.5,13778
20171124,89.75,11298
20171127,90,19933
20171128,89.75,19140
20171129,89.5,27931
20171130,91,179851
20171201,89,20046
20171204,89.25,35764
20171205,89.5,40670
20171206,88,29155
20171207,89,122523
20171208,91,28775
20171211,92,48519
20171212,92.25,27240
20171213,94.5,25376
20171214,93.5,26467
20171215,95,53058
20171218,94.75,32909
20171219,94.5,30856
20171220,92.5,16439
20171221,91,26208
20171222,90,68994
20171227,92.75,14902
20171228,96,30236
20171229,93.25,11294
20180102,94.1,18534
20180103,98.3,31483
20180104,99,33556
20180105,104.8,34744
20180108,104.4,42427
20180109,102,51329
20180110,99.6,43764
20180111,102.4,144035
20180112,103.2,16388
20180115,101.8,41134
20180116,102.8,28953
20180117,103,25305
20180118,107.8,30057
20180119,107.8,87371
20180122,108,33352
20180123,110,31707
20180124,108.6,122298
20180125,110.8,31099
20180126,107.8,18965
20180129,110,31848
20180130,114,30534
20180131,115,67468
20180201,119,84071
20180202,117.4,42079
20180205,114.2,129301
20180206,111.8,130467
20180207,117.6,53892
20180208,116,73304
20180209,117,76036
20180212,116,79883
20180213,113.6,197417
20180214,122.4,112799
20180215,129.4,220468
20180216,128.8,162085
20180219,129.8,49347
20180220,129.2,35236
20180221,129.6,42446
20180222,127,42116
20180223,130.8,573999
20180226,128.8,36636
20180227,138.8,96167
20180228,125.2,186253
20180301,121.6,148349
20180302,120.2,136537
20180305,125.6,63583
20180306,126.4,33704
20180307,129.2,80129
20180308,130.6,116836
20180309,127.8,49333
20180312,129.6,71601
20180313,133.2,68740
20180314,138.4,109144
20180315,132.6,48995
20180316,133.8,185837
20180319,129,47305
20180320,130,29572
20180321,127,17994
20180322,126.4,29158
20180323,125.8,52125
20180326,122.2,43962
20180327,129,45326
20180328,124.4,26905
20180329,125.6,15929
20180403,119.4,294080
20180404,122,98841
20180405,125,16889
20180406,125.6,17779
20180409,126.2,19842
20180410,128,15963
20180411,129.8,31062
20180412,125.8,27129
20180413,121,44391
20180416,123.6,48319
20180417,123.8,22843
20180418,119.6,29988
20180419,121,31901
20180420,127.2,90286
20180423,129.2,30960
20180424,129,16723
20180425,124.6,19884
20180426,129,26181
20180427,129,18219
20180430,127.4,14097
20180502,128,23840
20180503,125.8,24427
20180504,125,30757
20180507,123,28972
20180508,130,50881
20180509,132,32882
20180511,129.4,31282
20180514,131.2,42038
20180515,131,37424
20180516,130,37734
20180517,137.6,73658
20180518,165.2,1033634
20180521,188.4,508310
20180522,194.8,302155
20180523,196.8,262305
20180524,201.5,152019
20180525,202,170648
20180528,205.5,133526
20180529,209,136141
20180530,228,332973
20180531,228.5,245651
20180604,198.2,279403
20180605,196,173245
20180607,189,175465
20180608,189.6,448243
20180611,190.8,114546
20180612,200.5,186685
20180613,197,156222
20180614,199.8,141052
20180615,204.5,164373
20180618,201,118595
20180619,198,108583
20180620,199,88223
20180621,198,119663
20180625,195,169907
20180626,195,73355
20180627,194.2,64141
20180628,185.2,67178
20180629,186,106647
20180702,192.4,48835
20180703,186.2,65574
20180704,187.6,26028
20180705,188.6,42597
20180706,189,32330
20180709,188,60593
20180710,194.8,93405
20180711,200.5,74433
20180712,208.5,94611
20180713,220,116917
20180716,221.5,72402
20180717,218,179788
20180718,220.5,45755
20180719,215,44895
20180720,216,44308
20180723,206.5,94941
20180724,197.6,77585
20180725,199.4,25613
20180726,196.6,35014
20180727,196.6,276105
20180730,194,52805
20180731,192.6,50442
20180801,186.4,60705
20180802,191.6,27425
20180803,192,76493
20180806,198.8,117822
20180807,190,62362
20180808,188.2,38187
20180809,197.4,51305
20180810,194,24610
20180813,205.5,77867
20180814,148.2,1252403
20180815,158.6,707130
20180816,164,181615
20180817,165.4,472128
20180820,161.2,193542
20180821,157.4,133170
20180822,155.8,144466
20180823,158.6,78695
20180824,156.2,61336
20180827,154,899570
20180828,154,171952
20180829,154,82350
20180830,155.8,136721
20180831,157.2,69371
20180903,157.8,42323
20180904,159.4,50731
20180905,154.4,111620
20180906,152,82130
20180907,149.2,61579
20180910,144.4,144386
20180911,149.6,213532
20180912,154,146050
20180913,148,79373
20180914,152.2,84955
20180917,152.8,67726
20180918,150,78370
20180919,145,78254
20180920,148.4,93684
20180921,146.8,103994
20180924,144,36017
20180925,145.4,47322
20180926,143.4,40072
20180927,151.8,308854
20180928,155,211087
20181001,161,203534
20181002,156,93221
20181003,160,78162
20181004,147.4,142602
20181005,140.4,133218
20181008,138.6,72946
20181009,138.2,87199
20181010,132,76294
20181011,130.6,210333
20181012,130,102067
20181015,125,114753
20181016,132,138875
20181017,126.6,80663
20181018,125.4,126408
20181019,124.4,50563
20181022,126.6,62998
20181023,119.2,322872
20181024,117,147549
20181025,123.6,125443
20181026,120,104492
20181029,124.4,119759
20181030,125,85444
20181031,132.2,87371
20181101,135.4,128282
20181102,137.2,50346
20181105,132,111217
20181106,129.2,99659
20181107,127.6,74175
20181108,127,88275
20181109,126.6,61881
20181112,120.6,103927
20181113,117,376676
20181114,122,266178
20181115,121.4,127400
20181116,127.6,110136
20181119,129.6,126255
20181120,119,287317
20181121,128.2,174768
20181122,130.4,101130
20181123,132.4,85542
20181126,130.8,78690
20181127,125.4,130354
20181128,122.8,62089
20181129,124,92777
20181130,130.2,195412
20181203,138.4,162586
20181204,137.2,103679
20181205,135,134733
20181206,136.2,118335
20181207,140,135475
20181210,130.6,145167
20181211,135.2,64799
20181212,139,61271
20181213,147.6,151763
20181214,146,84448
20181217,143,140414
20181218,141.8,85015
20181219,146.4,69447
20181220,143,78748
20181221,135,109167
20181227,128.8,83194
20181228,134.2,53105
20190102,134.6,37941
20190103,129.2,35126
20190104,133.4,56590
20190107,135.8,36544
20190108,140.4,68366
20190109,152,113055
20190110,152.8,69596
20190111,147,41505
20190114,146.8,35541
20190115,144.6,29653
20190116,143,34899
20190117,149,41251
20190118,148,30627
20190121,148.8,63211
20190122,145,27821
20190123,141.2,53752
20190124,144.6,39695
20190125,143,55540
20190128,143,52430
20190129,143,54787
20190130,145.4,43220
20190131,148.6,61843
20190201,148.4,86905
20190204,155.6,82605
20190205,157.8,78078
20190206,153.8,124709
20190207,144,87155
20190208,145.6,71467
20190211,152.2,55479
20190212,154,48298
20190213,159,74200
20190214,159,58568
20190215,163.4,69401
20190218,162,81640
20190219,169,751872
20190220,157.2,182967
20190221,149.2,243151
20190222,149.8,117798
20190225,154,107546
20190226,151.6,63453
20190227,147.4,72079
20190228,147.2,95892
20190301,147.2,65737
20190304,145.2,78653
20190305,150,95638
20190306,146.4,45470
20190307,142.2,37957
20190308,142,45009
20190311,144.2,52600
20190312,143,36706
20190313,145,57638
20190314,142.2,35365
20190315,143.8,34799
20190318,148,61705
20190319,148,54341
20190320,149.4,43875
20190321,152,49407
20190322,152,64450
20190325,146,90856
20190326,146,22683
20190327,142.4,61223
20190328,142.8,28071
20190329,144,65255
20190401,148,38810
20190402,150.7,28593
20190403,148.4,46852
20190404,144.9,43472
20190405,147.6,162181
20190408,148.4,28143
20190409,148.5,11785
20190410,146,17473
20190411,144.5,17661
20190412,144.6,65590
20190415,144.8,81772
20190416,143.5,49387
20190417,145.5,145919
20190418,155,54484
20190423,160,46209
20190424,164,271137
20190425,158,212067
20190426,147.7,179127
20190429,147.7,89418
20190430,145.5,34066
20190502,150.5,70975
20190503,149.4,25054
20190506,144.6,151923
20190507,145,55513
20190508,145.6,24915
20190509,144,67471
20190510,147,64553
20190513,137.8,51911
20190514,143,357777
20190515,146,132400
20190516,149,160102
20190517,144.1,212729
20190520,142,51971
20190521,140.1,34488
20190522,146.1,61336
20190523,146,60000
20190524,146.6,58477
20190527,145.7,245142
20190528,146.7,279843
20190529,140.3,23660
20190531,142.3,60701
20190603,139.8,43644
20190604,136.5,40981
20190605,139.5,27883
20190607,142,50028
20190610,143.5,19096
20190611,143.3,24714
20190612,145,37045
20190613,145.6,41101
20190614,146.7,28050
20190617,146.4,49786
20190618,148.8,30618
20190619,149.2,256767
20190620,149.8,70531
20190624,147.6,60736
20190625,146.7,33358
20190626,147.1,53368
20190627,150.5,103510
20190628,154.4,72557
20190701,151.8,34345
20190702,154.6,29800
20190703,156.1,36175
20190704,152.2,27618
20190705,150.2,33135
20190708,150,40146
20190709,150.5,27936
20190710,151.1,19042
20190711,151.5,34868
20190712,153.4,56630
20190715,152.1,13680
20190716,151.3,26143
20190717,151,21284
20190718,151,24420
20190719,154,36984
20190722,152,15539
20190723,151.4,20324
20190724,154,23054
20190725,154,18934
20190726,154,14724
20190729,153.8,13231
20190730,154,16211
20190731,153.9,18326
20190801,154.8,11208
20190802,151.1,34691
20190805,146.5,22085
20190806,147.5,34020
20190807,148.6,12364
20190808,150.9,17919
20190809,151.9,61750
20190812,148.1,48618
20190813,144,211657
20190814,134.7,156611
20190815,129.3,101379
20190816,129.4,133841
20190819,126.2,82087
20190820,134.2,96223
20190821,134,151683
20190822,133.8,30546
20190823,133.7,52665
20190826,130.8,79837
20190827,132.4,92073
20190828,132.6,65554
20190829,131.6,83582
20190830,130.4,59454
20190902,131.3,92493
20190903,131,39605
20190904,133,44092
20190905,133.2,32425
20190906,132.4,9959
20190909,132,20795
20190910,132.4,68305
20190911,134,25306
20190912,133.9,91031
20190913,138,91886
20190916,140.4,56983
20190917,137.3,16908
20190918,137.5,33174
20190919,138.5,12299
20190920,136,34104
20190923,133.5,22651
20190924,134.9,34987
20190925,130.1,34055
20190926,128.4,18948
20190927,131.4,14945
20190930,132.8,33865
20191001,136,19702
20191002,131.7,18933
20191003,134,22170
20191004,133.4,14190
20191007,136,429229
20191008,134.5,61312
20191009,132.3,20642
20191010,131.5,16391
20191011,132,19587
20191014,132.1,433589
20191015,139.1,206933
20191016,136,265106
20191017,136.3,15747
20191018,135.5,15276
20191021,132.4,77294
20191022,132.1,29377
20191023,130.9,24235
20191024,131,39205
20191025,132.3,27347
20191028,131.4,76667
20191029,130.8,18227
20191030,132.2,32001
20191031,131.4,45813
20191101,128.9,156671
20191104,132.4,25663
20191105,133.9,23434
20191106,132,24072
20191107,127,192021
20191108,121.5,148612
20191111,118.3,145784
20191112,122.9,302934
20191113,127.2,69737
20191114,127.5,36044
20191115,128.6,40197
20191118,129,29390
20191119,128.5,44903
20191120,133,48769
20191121,131,39647
20191122,130.7,46986
20191125,132.6,25070
20191126,134.3,63000
20191127,135.4,48894
20191128,135,14623
20191129,136.8,28834
20191202,136.1,25956
20191203,138,31973
20191204,138.1,90954
20191205,139.8,15967
20191206,139,30566
20191209,139.6,31145
20191210,142.5,162303
20191211,141,20868
20191212,141.3,24446
20191213,143.5,33899
20191216,143.8,68919
20191217,145.7,138370
20191218,145,62066
20191219,145.8,149393
20191220,145.9,49332
20191223,149,42731
20191227,150.4,42866
20191230,150,27043
20200102,151.3,25063
20200103,152.2,26597
20200107,150.3,26741
20200108,151.4,68524
20200109,153,31811
20200110,149.2,29025
20200113,152.9,37503
20200114,153.4,29177
20200115,154.6,87371
20200116,155.9,139789
20200117,159.5,72603
20200120,159,32797
20200121,157,24599
20200122,158.9,32045
20200123,158.2,37677
20200124,157.8,36370
20200127,153.7,49228
20200128,153,21583
20200129,154.9,36627
20200130,150.4,70035
20200131,152,88994
20200203,151.8,28702
20200204,139.6,258393
20200205,138.4,95536
20200206,143.8,66952
20200207,140,47088
20200210,140.5,34037
20200211,140.2,40145
20200212,141,273436
20200213,142,145713
20200214,143.6,131741
20200217,143.3,80946
20200218,150.8,353940
20200219,159.9,140874
20200220,162.2,139051
20200221,162,44557
20200224,148,152478
20200225,146.7,61138
20200226,141.3,101366
20200227,137.5,81507
20200228,134,128799
20200302,139.4,287011
20200303,139.6,51875
20200304,143,101053
20200305,138.7,35979
20200306,136.3,58824
20200309,130,85747
20200310,135,160227
20200311,132.1,65719
20200312,122.6,166086
20200313,125,127172
20200316,119,133271
20200317,130,190057
20200318,135,222582
20200319,147.6,175427
20200320,147.4,319255
20200323,141.8,228341
20200324,144,50332
20200325,141,120915
20200326,143,63790
20200327,147,70345
20200330,150.3,88276
20200331,158.8,166177
20200401,159,182634
20200402,166.4,101840
20200403,165.4,54575
20200406,168,122366
20200407,168.5,134696
20200408,171.3,110766
20200409,174.5,78919
20200414,190,190312
20200415,190,253945
20200416,189,81746
20200417,189.5,85043
20200420,190,38779
20200421,192.4,102160
20200422,194.5,93421
20200423,193.6,71710
20200424,199,32710
20200427,200,56800
20200428,190.5,192836
20200429,193.7,68861
20200430,190,28439
20200504,184.6,58115
20200505,190.2,73918
20200506,190,84910
20200507,200,498702
20200508,200,72412
20200511,210,349990
20200512,219.4,740613
20200513,217.2,443038
20200514,216,196101
20200515,223.6,175161
20200518,223.4,212397
20200519,220.4,144929
20200520,221.8,65749
20200522,227.6,257061
20200525,232,108568
20200526,228.4,88351
20200527,212,106933
20200528,203.6,310347
20200529,207.6,232273
20200601,213.4,145030
20200602,219,67046
20200603,217.2,84257
20200604,214,80803
20200605,205,114162
20200608,201.8,337026
20200609,206.6,142791
20200610,212,41351
20200611,179.5,1446993
20200612,187.9,445798
20200615,186.8,170322
20200616,188,176414
20200617,190.5,122841
20200618,201,309544
20200622,193.7,105856
20200623,195.3,92534
20200624,195.4,90187
20200625,198.2,101211
20200626,201.4,118604
20200629,195.1,95813
20200630,201,103352
20200701,205.6,97419
20200702,215,85254
20200703,210,53179
20200706,210,74228
20200707,212.4,63952
20200708,216,60681
20200709,209.8,67858
20200710,207.6,52634
20200713,204.2,79640
20200714,204.6,75670
20200715,206.6,47410
20200716,211,47877
20200717,216.8,85339
20200720,221.2,36603
20200721,217.2,76271
20200722,215.4,69618
20200723,215.2,36804
20200724,213,58496
20200727,219,36474
20200728,215.2,47181
